#KSL
ID	Taxon	Gloss	GlossID	Orthography	IPA	Tokens	CogID
965	Hawaiian	rain	121	ua	ua	u a	1093
966	Latin	rain	121	pluvia	pluwia	p l u w i a	1089
967	Navajo	rain	121	níƚtsą́	niɬʦã́	n i ɬ ʦ ã́	1092
968	Turkish	rain	121	yağmur	jaɣmur	j a ɣ m u r	1090
#
969	Albanian	red	122	kuq	kuc	k u c	-703
970	English	red	122	red	rɛd	r ɛ d	701
971	French	red	122	rouge	ruʒ	r u ʒ	701
972	German	red	122	rot	roːt	r oː t	701
973	Hawaiian	red	122	`ula	ʔula	ʔ u l a	705
974	Latin	red	122	ruber	rubro	r u b r o	701
975	Navajo	red	122	ƚichííh	ɬiʧiːh	ɬ i ʧ iː h	704
976	Turkish	red	122	kızıl	kɯzɯl	k ɯ z ɯ l	702
#
977	Albanian	right	123	djathtë	djaθt	d j a θ t	673
978	English	right	123	right	rait	r ai t	671
979	French	right	123	droit	drwat	d r w a t	671
980	German	right	123	recht	rext	r e x t	671
981	Hawaiian	right	123	`ākau	ʔaːkau	ʔ aː k a u	675
982	Latin	right	123	dexter	dekster	d e k s t e r	673
983	Navajo	right	123	nish'ná	niʃnay	n i ʃ n ay	674
984	Turkish	right	123	sağ	saɣ	s a ɣ	672
#
985	Albanian	river	124	lumë	lum	l u m	312
986	English	river	124	river	rɪvər	r ɪ v ə r	-310
987	French	river	124	fleuve	fløv	f l ø v	-309
988	German	river	124	Fluss	flus	f l u s	308
989	Hawaiian	river	124	kahawai	kahawai	k a h a w a i	314
990	Latin	river	124	flumen	fluːmin	f l uː m i n	309
991	Navajo	river	124	tooh	toːh	t oː h	313
992	Turkish	river	124	nehir	nehir	n e h i r	-311
#
993	Albanian	root	125	rrënjë	rːəɲ	rː ə ɲ	911
994	English	root	125	root	rut	r u t	-911
995	French	root	125	racine	rasin	r a s i n	911
996	German	root	125	Wurzel	vurʦəl	v u r ʦ ə l	911
997	Hawaiian	root	125	a`a	aʔa	a ʔ a	914
998	Latin	root	125	radix	raːdiːk	r aː d iː k	911
999	Navajo	root	125	'akétl'óól	ketˡˀoːl	k e tˡˀ oː l	913
1000	Turkish	root	125	kök	køk	k ø k	912
#
1001	Albanian	rotten	126	kalbur	kalbur	k a l b u r	463
1002	English	rotten	126	rotten	rɑtən	r ɑ t ə n	-461
1003	French	rotten	126	pourri	puri	p u r i	460
1004	German	rotten	126	faul	faul	f au l	460
1005	Hawaiian	rotten	126	pilau	pilau	p i l a u	465
1006	Latin	rotten	126	putridus	putrido	p u t r i d o	460
1007	Navajo	rotten	126	diƚdzííd	diɬʣiːd	d i ɬ ʣ iː d	464
1008	Turkish	rotten	126	çürük	ʧyryk	ʧ y r y k	462
#
1009	Albanian	round	127	rrumbullák	rːumbułak	rː u m b u ł a k	317
1010	English	round	127	round	raund	r au n d	-315
1011	French	round	127	rond	rɔ̃d	r ɔ̃ d	315
1012	German	round	127	rund	rund	r u n d	-315
1013	Hawaiian	round	127	poepoe	poepoe	p o e p o e	319
1014	Latin	round	127	rotundus	rotundo	r o t u n d o	315
1015	Navajo	round	127	nímaz	nimaz	n i m a z	318
1016	Turkish	round	127	yuvarlak	juvarlak	j u v a r l a k	316
#
1017	Albanian	rub	128	fërkon	fərko	f ə r k o	-511
1018	English	rub	128	rubs	rəb	r ə b	509
1019	French	rub	128	frotte	frɔte	f r ɔ t e	508
1020	German	rub	128	reibt	raib	r ai b	507
1021	Hawaiian	rub	128	`ānai	ʔaːnai	ʔ aː n a i	513
1022	Latin	rub	128	fricat	frikaː	f r i k aː	511
1023	Navajo	rub	128	bídinishhish	bidiniɣiʃ	b i d i n i ɣ i ʃ	512
1024	Turkish	rub	128	sürtüyor	syrt	s y r t	510
#
1025	Albanian	salt	129	kripë	krip	k r i p	1171
1026	English	salt	129	salt	sɔlt	s ɔ l t	1169
1027	French	salt	129	sel	sɛl	s ɛ l	1169
1028	German	salt	129	Salz	zalʦ	z a l ʦ	1169
1029	Hawaiian	salt	129	pa`akai	paʔakai	p a ʔ a k a i	1173
1030	Latin	salt	129	sal	sal	s a l	1169
1031	Navajo	salt	129	'áshįįh	ʔayʃĩːh	ʔ ay ʃ ĩː h	1172
1032	Turkish	salt	129	tuz	tuz	t u z	1170
#
1033	Albanian	sand	130	rërë	rər	r ə r	-445
1034	English	sand	130	sand	sand	s a n d	442
1035	French	sand	130	sable	sabl	s a b l	443
1036	German	sand	130	Sand	zand	z a n d	442
1037	Hawaiian	sand	130	one	one	o n e	447
1038	Latin	sand	130	arena	areːna	a r eː n a	445
1039	Navajo	sand	130	séí	sei	s e i	446
1040	Turkish	sand	130	kum	kum	k u m	444
#
1041	Albanian	say	131	thotë	θ	θ	942
1042	English	say	131	says	se	s e	939
1043	French	say	131	dit	di	d i	940
1044	German	say	131	sagt	zaːg	z aː g	939
1045	Hawaiian	say	131	`ōlelo	ʔoːlelo	ʔ oː l e l o	944
1046	Latin	say	131	dicit	diːke	d iː k e	940
1047	Navajo	say	131	ní	ni	n i	943
1048	Turkish	say	131	diyor	de	d e	941
#
1049	Albanian	scratch	132	gërvish	gərviʃ	g ə r v i ʃ	8
1050	English	scratch	132	scratches	skraʧ	s k r a ʧ	9
1051	French	scratch	132	gratte	grat	g r a t	-8
1052	German	scratch	132	kratzt	kraʦ	k r a ʦ	8
1053	Hawaiian	scratch	132	walu	walu	w a l u	13
1054	Latin	scratch	132	scabit	skabe	s k a b e	12
1055	Navajo	scratch	132	'ashch'id	ʔaʧˀid	ʔ a ʧˀ i d	11
1056	Turkish	scratch	132	tırmalıyor	tɯrmala	t ɯ r m a l a	10
#
1057	Albanian	sea	133	det	det	d e t	400
1058	English	sea	133	sea	si	s i	397
1059	French	sea	133	mer	mɛr	m ɛ r	398
1060	German	sea	133	See	zeː	z eː	397
1061	Hawaiian	sea	133	kai	kai	k a i	402
1062	Latin	sea	133	mare	mare	m a r e	398
1063	Navajo	sea	133	tónteel	tonteːl	t o n t eː l	401
1064	Turkish	sea	133	deniz	deniz	d e n i z	399
#
1065	Albanian	see	134	sheh	ʃ	ʃ	385
1066	English	see	134	sees	si	s i	385
1067	French	see	134	voit	vwa	v w a	386
1068	German	see	134	sieht	zeː	z eː	385
1069	Hawaiian	see	134	`ike	ʔike	ʔ i k e	389
1070	Latin	see	134	videt	wideː	w i d eː	386
1071	Navajo	see	134	yish'į́	jiʔĩ́	j i ʔ ĩ́	388
1072	Turkish	see	134	görüyor	gør	g ø r	387
#
1073	Albanian	seed	135	farë	far	f a r	948
1074	English	seed	135	seed	sid	s i d	945
1075	French	seed	135	graine	grɛn	g r ɛ n	946
1076	German	seed	135	Same	zaːmən	z aː m ə n	945
1077	Hawaiian	seed	135	`ano`ano	ʔanoʔano	ʔ a n o ʔ a n o	950
1078	Latin	seed	135	semen	seːmin	s eː m i n	945
1079	Navajo	seed	135	k'eelyéí	kˀeːljei	kˀ eː l j e i	949
1080	Turkish	seed	135	tohum	tohum	t o h u m	-947
#
1081	Albanian	sew	136	qep	cep	c e p	646
1082	English	sew	136	sews	so	s o	644
1083	French	sew	136	coud	kuz	k u z	644
1084	German	sew	136	näht	neː	n eː	643
1085	Hawaiian	sew	136	humu	humu	h u m u	648
1086	Latin	sew	136	suit	sue	s u e	644
1087	Navajo	sew	136	náiƚkad	nayiɬkad	n ay i ɬ k a d	647
1088	Turkish	sew	136	dikiyor	dik	d i k	645
#
1089	Albanian	sharp	137	mprehtë	mpreht	m p r e h t	964
1090	English	sharp	137	sharp	ʃarp	ʃ a r p	961
1091	French	sharp	137	tranchant	trɑ̃ʃɑ̃t	t r ɑ̃ ʃ ɑ̃ t	962
1092	German	sharp	137	scharf	ʃarf	ʃ a r f	961
1093	Hawaiian	sharp	137	`oi	ʔoi	ʔ o i	967
1094	Latin	sharp	137	acutus	akuːto	a k uː t o	966
1095	Navajo	sharp	137	deení	deːni	d eː n i	965
1096	Turkish	sharp	137	keskin	keskin	k e s k i n	963
#
1097	Albanian	short	138	shkurtër	ʃkurtər	ʃ k u r t ə r	-1150
1098	English	short	138	short	ʃɔrt	ʃ ɔ r t	1150
1099	French	short	138	court	kurt	k u r t	1150
1100	German	short	138	kurz	kurʦ	k u r ʦ	-1150
1101	Hawaiian	short	138	pōkole	poːkole	p oː k o l e	1154
1102	Latin	short	138	brevis	brewi	b r e w i	1153
1103	Navajo	short	138	yázhí	jayʒi	j ay ʒ i	1152
1104	Turkish	short	138	kısa	kɯsa	k ɯ s a	1151
#
1105	Albanian	sing	139	këndon	kəndo	k ə n d o	-683
1106	English	sing	139	sings	sɪŋ	s ɪ ŋ	682
1107	French	sing	139	chante	ʃɑ̃te	ʃ ɑ̃ t e	683
1108	German	sing	139	singt	ziŋ	z i ŋ	682
1109	Hawaiian	sing	139	mele	mele	m e l e	686
1110	Latin	sing	139	canit	kanit	k a n i t	683
1111	Navajo	sing	139	hataaƚ	hataːɬ	h a t aː ɬ	685
1112	Turkish	sing	139	şarkı söylüyor	ʃarkɯ	ʃ a r k ɯ	684
#
1113	Albanian	sit	140	(rri) ndenjur	ndeɲ	n d e ɲ	984
1114	English	sit	140	sits	sɪt	s ɪ t	982
1115	French	sit	140	(est) assis	asiz	a s i z	982
1116	German	sit	140	sitzt	ziʦ	z i ʦ	982
1117	Hawaiian	sit	140	noho	noho	n o h o	986
1118	Latin	sit	140	sedet	sedeː	s e d eː	982
1119	Navajo	sit	140	sidá	siday	s i d ay	985
1120	Turkish	sit	140	oturuyor	otur	o t u r	983
#
1121	Albanian	skin	141	lëkurë	ləkur	l ə k u r	56
1122	English	skin	141	skin	skin	s k i n	-54
1123	French	skin	141	peau	po	p o	53
1124	German	skin	141	Haut	haut	h au t	52
1125	Hawaiian	skin	141	`ili	ʔili	ʔ i l i	58
1126	Latin	skin	141	cutis	kuti	k u t i	52
1127	Navajo	skin	141	'akágí	kaygi	k ay g i	57
1128	Turkish	skin	141	deri	deri	d e r i	55
#
1129	Albanian	sky	142	qiell	cieł	c i e ł	-650
1130	English	sky	142	sky	skai	s k ai	-651
1131	French	sky	142	ciel	sjɛl	s j ɛ l	650
1132	German	sky	142	Himmel	himəl	h i m ə l	649
1133	Hawaiian	sky	142	lani	lani	l a n i	654
1134	Latin	sky	142	caelum	kaelo	k ae l o	650
1135	Navajo	sky	142	yá	yay	y ay	653
1136	Turkish	sky	142	gök	gøk	g ø k	652
#
1137	Albanian	sleep	143	fle	fle	f l e	830
1138	English	sleep	143	sleeps	slip	s l i p	827
1139	French	sleep	143	dort	dɔr	d ɔ r	828
1140	German	sleep	143	schläft	ʃlaːf	ʃ l aː f	827
1141	Hawaiian	sleep	143	moe	moe	m o e	832
1142	Latin	sleep	143	dormit	dormiː	d o r m iː	828
1143	Navajo	sleep	143	'aƚhosh	ʔaɬhoʃ	ʔ a ɬ h o ʃ	831
1144	Turkish	sleep	143	uyuyor	uju	u j u	829
#
1145	Albanian	small	144	vogël	vogəl	v o g ə l	297
1146	English	small	144	small	smɔl	s m ɔ l	295
1147	French	small	144	petit	pətit	p ə t i t	294
1148	German	small	144	klein	klain	k l ai n	293
1149	Hawaiian	small	144	iki	iki	i k i	300
1150	Latin	small	144	parvos	parwo	p a r w o	299
1151	Navajo	small	144	yázhí	jayʒi	j ay ʒ i	298
1152	Turkish	small	144	küçük	kyʧyk	k y ʧ y k	296
#
1153	Albanian	smell	145	marr erë	er	e r	-1037
1154	English	smell	145	smells	smel	s m e l	1035
1155	French	smell	145	sent	sɑ̃t	s ɑ̃ t	1034
1156	German	smell	145	riecht	riːx	r iː x	1033
1157	Hawaiian	smell	145	honi	honi	h o n i	1040
1158	Latin	smell	145	olfacit	olfake	o l f a k e	1039
1159	Navajo	smell	145	yishchą́ą́'	jiʃʧã́ː	j i ʃ ʧ ã́ː	1038
1160	Turkish	smell	145	koklayor	kokla	k o k l a	1036
#
1161	Albanian	smoke	146	tym	tym	t y m	-612
1162	English	smoke	146	smoke	smok	s m o k	613
1163	French	smoke	146	fumée	fyme	f y m e	612
1164	German	smoke	146	Rauch	raux	r au x	611
1165	Hawaiian	smoke	146	uahi	uahi	u a h i	616
1166	Latin	smoke	146	fumus	fuːmo	f uː m o	612
1167	Navajo	smoke	146	ƚid	ɬid	ɬ i d	615
1168	Turkish	smoke	146	duman	duman	d u m a n	614
#
1169	Albanian	smooth	147	lëmuet	ləmo	l ə m o	880
1170	English	smooth	147	smooth	smuð	s m u ð	878
1171	French	smooth	147	lisse	lis	l i s	877
1172	German	smooth	147	glatt	glat	g l a t	876
1173	Hawaiian	smooth	147	malino	malino	m a l i n o	883
1174	Latin	smooth	147	levis	leːwi	l eː w i	882
1175	Navajo	smooth	147	dilkǫǫh	dilkõːh	d i l k õː h	881
1176	Turkish	smooth	147	düz	dyz	d y z	879
#
1177	Albanian	snake	148	gjarpër	ɟarpər	ɟ a r p ə r	656
1178	English	snake	148	snake	snek	s n e k	657
1179	French	snake	148	serpent	sɛrpɑ̃	s ɛ r p ɑ̃	656
1180	German	snake	148	Schlange	ʃlaŋə	ʃ l a ŋ ə	655
1181	Hawaiian	snake	148	naheka	naheka	n a h e k a	-657
1182	Latin	snake	148	anguis	angwi	a n g w i	660
1183	Navajo	snake	148	tƚ'iish	tˡˀiːʃ	tˡˀ iː ʃ	659
1184	Turkish	snake	148	yılan	jɯlan	j ɯ l a n	658
#
1185	Albanian	snow	149	borë	bor	b o r	989
1186	English	snow	149	snow	sno	s n o	987
1187	French	snow	149	neige	nɛʒ	n ɛ ʒ	987
1188	German	snow	149	Schnee	ʃneː	ʃ n eː	987
1189	Hawaiian	snow	149	hau kea	hau	h a u	991
1190	Latin	snow	149	nix	niw	n i w	987
1191	Navajo	snow	149	zas	zas	z a s	990
1192	Turkish	snow	149	kar	kar	k a r	988
#
1193	Albanian	some	150	disa	disa	d i s a	361
1194	English	some	150	some	səm	s ə m	359
1195	French	some	150	quelques	kɛlkə	k ɛ l k ə	358
1196	German	some	150	einige	ainig	ai n i g	357
1197	Hawaiian	some	150	kekahi	kekahi	k e k a h i	364
1198	Latin	some	150	aliqui	alikwo	a l i k w o	363
1199	Navajo	some	150	ƚa'	ɬaʔ	ɬ a ʔ	362
1200	Turkish	some	150	bazı	bazɯ	b a z ɯ	-360
#
1201	Albanian	spit	151	pështyn	pəʃty	p ə ʃ t y	769
1202	English	spit	151	spits	spɪt	s p ɪ t	767
1203	French	spit	151	crache	kraʃe	k r a ʃ e	-766
1204	German	spit	151	spuckt	ʃpuk	ʃ p u k	-765
1205	Hawaiian	spit	151	kuha	kuha	k u h a	771
1206	Latin	spit	151	spuit	spue	s p u e	769
1207	Navajo	spit	151	dishsheeh	diʒeːh	d i ʒ eː h	770
1208	Turkish	spit	151	tükürüyor	tykyr	t y k y r	768
#
1209	Albanian	split	152	çan	ʧa	ʧ a	152
1210	English	split	152	splits	splɪit	s p l ɪi t	-149
1211	French	split	152	fend	fɑ̃d	f ɑ̃ d	150
1212	German	split	152	spaltet	ʃpalt	ʃ p a l t	149
1213	Hawaiian	split	152	wāhi	waːhi	w aː h i	154
1214	Latin	split	152	findit	finde	f i n d e	150
1215	Navajo	split	152	'aƚtániishgéésh	ʔaɬtayniːgeːʃ	ʔ a ɬ t ay n iː g       eː ʃ	153
1216	Turkish	split	152	yarıyor	jar	j a r	151
#
1217	Albanian	squeeze	153	shtrydh	ʃtryð	ʃ t r y ð	551
1218	English	squeeze	153	squeezes	skwiz	s k w i z	549
1219	French	squeeze	153	presse	prɛse	p r ɛ s e	548
1220	German	squeeze	153	drückt	dryk	d r y k	547
1221	Hawaiian	squeeze	153	`uwī	ʔuwiː	ʔ u w iː	553
1222	Latin	squeeze	153	premit	preme	p r e m e	548
1223	Navajo	squeeze	153	yiishnih	jiːnih	j iː n i h	552
1224	Turkish	squeeze	153	sıkıyor	sɯk	s ɯ k	550
#
1225	Albanian	stab	154	ther	θer	θ e r	621
1226	English	stab	154	stabs	stab	s t a b	619
1227	French	stab	154	poignarde	pwaɲarde	p w a ɲ a r d e	618
1228	German	stab	154	sticht	ʃtex	ʃ t e x	617
1229	Hawaiian	stab	154	hou	hou	h o u	624
1230	Latin	stab	154	fodit	fode	f o d e	623
1231	Navajo	stab	154	bighá'níshgééd	biɣayʔniɬgeːd	b i ɣ ay ʔ n i ɬ       g eː d	622
1232	Turkish	stab	154	hançerliyor	hanʧerle	h a n ʧ e r l e	-620
#
1233	Albanian	stand	155	(rri) më këmbë	kəmb	k ə m b	1044
1234	English	stand	155	stands	stand	s t a n d	1041
1235	French	stand	155	(est) debout	dəbu	d ə b u	-1042
1236	German	stand	155	steht	ʃteː	ʃ t eː	1041
1237	Hawaiian	stand	155	kū	kuː	k uː	1046
1238	Latin	stand	155	stat	staː	s t aː	1041
1239	Navajo	stand	155	sizį́	sizĩ́	s i z ĩ́	1045
1240	Turkish	stand	155	duruyor	dur	d u r	1043
#
1241	Albanian	star	156	yll	ył	y ł	1057
1242	English	star	156	star	stɑr	s t ɑ r	1055
1243	French	star	156	étoile	etwal	e t w a l	1055
1244	German	star	156	Stern	ʃtern	ʃ t e r n	1055
1245	Hawaiian	star	156	hōkū	hoːkuː	h oː k uː	1059
1246	Latin	star	156	stella	steːlːa	s t eː lː a	1055
1247	Navajo	star	156	sǫ'	sõʔ	s õ ʔ	1058
1248	Turkish	star	156	yıldız	jɯldɯz	j ɯ l d ɯ z	1056
#
1249	Albanian	stick	157	shkop	ʃkop	ʃ k o p	929
1250	English	stick	157	stick	stɪk	s t ɪ k	927
1251	French	stick	157	bâton	batɔ̃	b a t ɔ̃	-926
1252	German	stick	157	Stock	ʃtok	ʃ t o k	925
1253	Hawaiian	stick	157	lā`au	laːʔau	l aː ʔ a u	932
1254	Latin	stick	157	baculum	bakulo	b a k u l o	931
1255	Navajo	stick	157	tsin	ʦin	ʦ i n	930
1256	Turkish	stick	157	değnek	deɣnek	d e ɣ n e k	928
#
1257	Albanian	stone	158	gur	gur	g u r	581
1258	English	stone	158	stone	ston	s t o n	578
1259	French	stone	158	pierre	pjɛr	p j ɛ r	-579
1260	German	stone	158	Stein	ʃtain	ʃ t ai n	578
1261	Hawaiian	stone	158	pōhaku	poːhaku	p oː h a k u	584
1262	Latin	stone	158	lapis	lapid	l a p i d	583
1263	Navajo	stone	158	tsé	ʦe	ʦ e	582
1264	Turkish	stone	158	taş	taʃ	t a ʃ	580
#
1265	Albanian	straight	159	drejtë	drejt	d r e j t	-871
1266	English	straight	159	straight	stret	s t r e t	872
1267	French	straight	159	droit	drwat	d r w a t	871
1268	German	straight	159	gerade	gəraːdə	g ə r aː d ə	870
1269	Hawaiian	straight	159	pololei	pololei	p o l o l e i	875
1270	Latin	straight	159	rectus	reːkto	r eː k t o	871
1271	Navajo	straight	159	k'éhózdon	kˀehozdon	kˀ e h o z d o n	874
1272	Turkish	straight	159	doğru	doɣru	d o ɣ r u	873
#
1273	Albanian	suck	160	thith	θiθ	θ i θ	1132
1274	English	suck	160	sucks	sək	s ə k	1130
1275	French	suck	160	suce	syse	s y s e	1130
1276	German	suck	160	saugt	zaug	z au g	1130
1277	Hawaiian	suck	160	omo	omo	o m o	1134
1278	Latin	suck	160	sugit	suːge	s uː g e	1130
1279	Navajo	suck	160	yisht'o'	jiɬtˀoʔ	j i ɬ tˀ o ʔ	1133
1280	Turkish	suck	160	emiyor	em	e m	1131
#
1281	Albanian	sun	161	diell	dieł	d i e ł	435
1282	English	sun	161	sun	sən	s ə n	433
1283	French	sun	161	soleil	sɔlɛj	s ɔ l ɛ j	433
1284	German	sun	161	Sonne	zonə	z o n ə	433
1285	Hawaiian	sun	161	lā	laː	l aː	437
1286	Latin	sun	161	sol	soːl	s oː l	433
1287	Navajo	sun	161	shá	ʃay	ʃ ay	436
1288	Turkish	sun	161	güneş	gyneʃ	g y n e ʃ	434
#
1289	Albanian	swell	162	ënj	əɲ	ə ɲ	1074
1290	English	swell	162	swells	swɛl	s w ɛ l	1071
1291	French	swell	162	enfle	ɑ̃fle	ɑ̃ f l e	1072
1292	German	swell	162	schwillt	ʃvel	ʃ v e l	1071
1293	Hawaiian	swell	162	ho`opehu	hoʔopehu	h o ʔ o p e h u	1077
1294	Latin	swell	162	tumet	tumeː	t u m eː	1076
1295	Navajo	swell	162	niishchaad	niːʧaːd	n iː ʧ aː d	1075
1296	Turkish	swell	162	şişiyor	ʃiʃ	ʃ i ʃ	1073
#
1297	Albanian	swim	163	noton	noto	n o t o	158
1298	English	swim	163	swims	swɪm	s w ɪ m	155
1299	French	swim	163	nage	naʒe	n a ʒ e	156
1300	German	swim	163	schwimmt	ʃvim	ʃ v i m	155
1301	Hawaiian	swim	163	`au	ʔau	ʔ a u	160
1302	Latin	swim	163	nat	naː	n aː	158
1303	Navajo	swim	163	'ashkǫ́ǫ́h	ʔaɬkõːh	ʔ a ɬ k õː h	159
1304	Turkish	swim	163	yüzüyor	jyz	j y z	157
#
1305	Albanian	tail	164	bisht	biʃt	b i ʃ t	126
1306	English	tail	164	tail	tel	t e l	124
1307	French	tail	164	queue	kø	k ø	123
1308	German	tail	164	Schwanz	ʃvanʦ	ʃ v a n ʦ	122
1309	Hawaiian	tail	164	huelo	huelo	h u e l o	128
1310	Latin	tail	164	cauda	kauda	k au d a	123
1311	Navajo	tail	164	'atsee'	ʦeːʔ	ʦ eː ʔ	127
1312	Turkish	tail	164	kuyruk	kujruk	k u j r u k	125
#
1313	Albanian	that	165	ai	ai	a i	775
1314	English	that	165	that	ðat	ð a t	772
1315	French	that	165	cela	səla	s ə l a	773
1316	German	that	165	das	das	d a s	772
1317	Hawaiian	that	165	kēlā	keːlaː	k eː l aː	778
1318	Latin	that	165	illud	ilːo	i lː o	777
1319	Navajo	that	165	'éi	ʔeiː	ʔ e iː	776
1320	Turkish	that	165	o	on	o n	774
#
1321	Albanian	there	166	aty	aty	a t y	720
1322	English	there	166	there	ðɛr	ð ɛ r	717
1323	French	there	166	là	la	l a	718
1324	German	there	166	da	daː	d aː	717
1325	Hawaiian	there	166	laila	laila	l a i l a	723
1326	Latin	there	166	ibi	ibi	i b i	722
1327	Navajo	there	166	'áadi	ʔaːdi	ʔ aː d i	721
1328	Turkish	there	166	orada	ora	o r a	719
#
1329	Albanian	they	167	ata	ata	a t a	216
1330	English	they	167	they	ðe	ð e	-214
1331	French	they	167	ils	il	i l	213
1332	German	they	167	sie	ziː	z iː	212
1333	Hawaiian	they	167	lākou	laːkou	l aː k o u	219
1334	Latin	they	167	ei	eo	e o	218
1335	Navajo	they	167	daabí	bi	b i	217
1336	Turkish	they	167	onlar	on	o n	215
#
1337	Albanian	thick	168	trashë	traʃ	t r a ʃ	690
1338	English	thick	168	thick	θɪk	θ ɪ k	687
1339	French	thick	168	épais	epɛs	e p ɛ s	688
1340	German	thick	168	dick	dik	d i k	687
1341	Hawaiian	thick	168	mānoa	maːnoa	m aː n o a	693
1342	Latin	thick	168	crassus	krasːo	k r a sː o	692
1343	Navajo	thick	168	ditą́	ditã́	d i t ã́	691
1344	Turkish	thick	168	kalın	kalɯn	k a l ɯ n	689
#
1345	Albanian	thin	169	hollë	hoł	h o ł	495
1346	English	thin	169	thin	θɪn	θ ɪ n	492
1347	French	thin	169	mince	mɛ̃s	m ɛ̃ s	493
1348	German	thin	169	dünn	dyn	d y n	492
1349	Hawaiian	thin	169	wīwī	wiːwiː	w iː w iː	497
1350	Latin	thin	169	tenuis	tenui	t e n u i	492
1351	Navajo	thin	169	'áƚt'ą́'í	ʔayɬtˀã́ʔi	ʔ ay ɬ tˀ ã́     ʔ i	496
1352	Turkish	thin	169	ince	inʤe	i n ʤ e	494
#
1353	Albanian	think	170	mendon	mendo	m e n d o	-639
1354	English	think	170	thinks	θɪŋk	θ ɪ ŋ k	636
1355	French	think	170	pense	pɑ̃se	p ɑ̃ s e	-637
1356	German	think	170	denkt	deŋk	d e ŋ k	636
1357	Hawaiian	think	170	mana`o	manaʔo	m a n a ʔ o	642
1358	Latin	think	170	cogitat	koːgitaː	k oː g i t aː	641
1359	Navajo	think	170	nízin	nizin	n i z i n	640
1360	Turkish	think	170	düşünüyor	dyʃyn	d y ʃ y n	638
#
1361	Albanian	this	171	ky	k	k	866
1362	English	this	171	this	ðɪs	ð ɪ s	863
1363	French	this	171	ceci	səsi	s ə s i	864
1364	German	this	171	dieses	diːz	d iː z	863
1365	Hawaiian	this	171	kēia	keːia	k eː i a	869
1366	Latin	this	171	hoc	hok	h o k	868
1367	Navajo	this	171	díí	diː	d iː	867
1368	Turkish	this	171	bu	bun	b u n	865
#
1369	Albanian	thou	172	ti	t	t	585
1370	English	thou	172	you	ju	j u	586
1371	French	thou	172	tu	ty	t y	585
1372	German	thou	172	du	duː	d uː	585
1373	Hawaiian	thou	172	`oe	ʔoe	ʔ o e	589
1374	Latin	thou	172	tu	tuː	t uː	585
1375	Navajo	thou	172	ni	ni	n i	588
1376	Turkish	thou	172	sen	sen	s e n	587
#
1377	Albanian	three	173	tre	tre	t r e	724
1378	English	three	173	three	θri	θ r i	724
1379	French	three	173	trois	trwa	t r w a	724
1380	German	three	173	drei	drai	d r ai	724
1381	Hawaiian	three	173	kolu	kolu	k o l u	727
1382	Latin	three	173	tres	tri	t r i	724
1383	Navajo	three	173	táá'	taːʔ	t aː ʔ	726
1384	Turkish	three	173	üç	yʧ	y ʧ	725
#
1385	Albanian	throw	174	hedh	heð	h e ð	568
1386	English	throw	174	throws	θro	θ r o	566
1387	French	throw	174	lance	lɑ̃se	l ɑ̃ s e	-565
1388	German	throw	174	wirft	verf	v e r f	564
1389	Hawaiian	throw	174	nou	nou	n o u	571
1390	Latin	throw	174	iacit	jake	j a k e	570
1391	Navajo	throw	174	hishhan	hiɬhan	h i ɬ h a n	569
1392	Turkish	throw	174	atıyor	at	a t	567
#
1393	Albanian	tie	175	lidh	lið	l i ð	1025
1394	English	tie	175	ties	tai	t ai	1023
1395	French	tie	175	attache	ataʃe	a t a ʃ e	-1022
1396	German	tie	175	bindet	bind	b i n d	1021
1397	Hawaiian	tie	175	hīki`i	hiːkiʔi	h iː k i ʔ i	1027
1398	Latin	tie	175	ligat	ligaː	l i g aː	1025
1399	Navajo	tie	175	be'eshtƚ'ó	beʔetˡˀo	b e ʔ e tˡˀ o	1026
1400	Turkish	tie	175	bağlıyor	baɣla	b a ɣ l a	1024
#
1401	Albanian	tongue	176	gjuhë	ɟuh	ɟ u h	627
1402	English	tongue	176	tongue	təŋ	t ə ŋ	625
1403	French	tongue	176	langue	lɑ̃g	l ɑ̃ g	625
1404	German	tongue	176	Zunge	ʦuŋə	ʦ u ŋ ə	625
1405	Hawaiian	tongue	176	alelo	alelo	a l e l o	629
1406	Latin	tongue	176	lingua	lingwa	l i n gw a	625
1407	Navajo	tongue	176	'atsoo'	ʦoːʔ	ʦ oː ʔ	628
1408	Turkish	tongue	176	dil	dil	d i l	626
#
1409	Albanian	tooth	177	dhëmb	ðəmb	ð ə m b	1188
1410	English	tooth	177	tooth	tuθ	t u θ	1186
1411	French	tooth	177	dent	dɑ̃	d ɑ̃	1186
1412	German	tooth	177	Zahn	ʦaːn	ʦ aː n	1186
1413	Hawaiian	tooth	177	niho	niho	n i h o	1190
1414	Latin	tooth	177	dens	dent	d e n t	1186
1415	Navajo	tooth	177	'awoo'	ɣoːʔ	ɣ oː ʔ	1189
1416	Turkish	tooth	177	diş	diʃ	d i ʃ	1187
#
1417	Albanian	tree	178	dru	drur	d r u r	349
1418	English	tree	178	tree	tri	t r i	349
1419	French	tree	178	arbre	arbr	a r b r	348
1420	German	tree	178	Baum	baum	b au m	347
1421	Hawaiian	tree	178	lā`au	laːʔau	l aː ʔ a u	352
1422	Latin	tree	178	arbor	arbos	a r b o s	348
1423	Navajo	tree	178	tsin	ʦin	ʦ i n	351
